id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
218,2,0,0,0,0,1.0,4,0,0,0,0,1.0,1
219,5,0,0,0,0,1.0,6,0,0,0,0,1.0,0
220,13,0,0,0,0,1.0,13,0,0,0,0,1.0,1
221,13,0,0,0,0,1.0,13,0,0,0,0,1.0,1
222,13,0,0,0,0,1.0,13,0,0,0,0,1.0,1
223,13,0,0,0,0,1.0,13,0,0,0,0,1.0,1
224,6,10,0,0,0,0.375,6,10,0,0,0,0.375,0
225,6,10,0,0,0,0.375,6,10,0,0,0,0.375,0
226,6,10,0,0,0,0.375,6,10,0,0,0,0.375,0
227,6,10,0,0,0,0.375,6,10,0,0,0,0.375,0
228,3,2,0,0,0,0.6,3,2,0,0,0,0.6,1
229,20,11,0,0,0,0.6452,51,17,0,0,0,0.75,0
230,20,11,0,0,0,0.6452,51,17,0,0,0,0.75,0
231,20,11,0,0,0,0.6452,51,17,0,0,0,0.75,1
232,1,0,0,0,0,1.0,6,0,0,0,0,1.0,1
233,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
234,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
235,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
236,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
237,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
238,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
239,20,0,0,0,0,1.0,24,0,0,0,0,1.0,1
240,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
241,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
242,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
243,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
244,2,0,0,0,0,1.0,7,0,0,0,0,1.0,1
245,1,0,0,0,0,1.0,4,0,0,0,0,1.0,0
246,22,0,0,0,0,1.0,28,0,0,0,0,1.0,1
247,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
248,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
249,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
250,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
251,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
252,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
